,,Year ended 31 December,
,Note,2024,2023
CONTINUING OPERATIONS,,,"575,661 551,271 24,390 10,567 (454,079) (451,197) (2,882) 10,284 9,962 322 (46,690) (38,001) (8,689) (75,765) (71,100) (4,866) 201 (10,226) 192 (72) (72)"
Net sales,22,"566,634",
Sales of goods Sales of services,12 22 b) 12 22 c) 22 d) 22 e) 22 f) 22 g),"540,516 26,118",
,,,
Change in inventories of finished products and work in progress,,"(18,789)",
,,,
Procurements,,"(406,840)",
Raw materials and consumables used,,"(405,122) (1,718)",
Inventory write-down,,,
,,,
Other operating income,,"15,415",
Ancillary and current management income,,"14,845 570",
Operating grants recognised in profit and loss,,,
Employee benefit expenses,,,
,,"(50,949)",
"Wages, salaries and similar remuneration Welfare charges",,"(41,685) (9,264)",
Other operating expenses,,,
,,"(82,923)",
"External services Taxes Losses, impairment and changes in trade provisions",,"(74,829) (8,157) 63",
,,,
Amortisation and depreciation charges,5 & 6,"(9,408)",
,17 6,,
Allocation of grants for non-financial assets and other,,330,
,,,
Impairment and gains/(losses) on disposal of intangible assets and other,,31,
Gains (losses) on sales and other,,31,
,,,
OPERATING PROFIT/(LOSS),,"13,501","9,872"
,,,"1,423 (2,205) 28 (104) 1,097"
Finance income,,"65,566 (5,043) — 25 (190)",
Finance expenses,,,
Change in fair value of financial instruments,,,
Foreign exchange differences,,,
Impairment and gains/(losses) on disposal of financial instruments,,,
,,,
FINANCE COSTS - NET,24,"60,358",239
,,,
PROFIT BEFORE TAX,,"73,859","10,111"
,23,,"1,960"
Income tax,,"1,687",
,,,
PROFIT FOR THE YEAR,16,"75,546","12,071"
