,31 December 2024 31 December 2023,,
Condensed statement of comprehensive income,"Terafront Farmatech, S.L. Enervit Nutrition, S.L.",,
,,,
Revenue Procurements and changes in inventories,— — —,,"5,727 (4,777) (351) (448)"
Employee benefit expenses Other operating expenses Amortisation and depreciation,,,
,(90),,
,—,,(335)
Operating profit/(loss),(90),,(184)
Finance costs - net Income tax,—,,—
,—,,—
Profit/(loss) for the period,(90),,(184)
,,,
Other comprehensive income,—,,
,,,
TOTAL COMPREHENSIVE INCOME,(90),,(184)
,,,
Dividends received from joint ventures,—,,
