"March 31, 2024","Dec 31, 2023",
,,
293.2,290.6,2.7
485.4,509.3,(23.9)
778.7,799.9,(21.2)
,,
523.8,543.5,(19.7)
,,
63.6,56.5,7.1
59.6,52.2,7.4
191.2,199.8,(8.6)
22.1,13.2,9.0
254.9,256.4,(1.5)
778.7,799.9,(21.2)
