,31 de diciembre 2024,,31 de diciembre de 2023
Balance resumido,"Terafront Farmatech, S.L.",,
,,,
Corriente,,,
Efectivo y equivalentes al efectivo Otros activos corrientes (excluido efectivo),74.867 19,,—
,,,—
Total activos corrientes,74.886,,—
Pasivos financieros (excluidos proveedores) Otros pasivos corrientes (incluidos proveedores),—,,— —
,(109),,
Total pasivos corrientes,(109),,—
,,,
No Corriente,,,
Inmovilizado material,— — — —,,— — — —
Inmovilizado intangible Otros activos financieros,,,
,,,
Activos por impuestos diferidos,,,
Total activos no corrientes,—,,—
Pasivos financieros Otros pasivos,— —,,—
,,,—
Total pasivos no corrientes,—,,
,,,
ACTIVOS NETOS,74.777,,—
