,,Equity,,,,,,,
,,,Share,,,Other,Adjust-,"Grants,",
,,Share,premium,Treasury,Profit/,equity,ments for,donations,Total equity
,,capital,and reserves,stock,(loss) for the period,instru- ments,changes in value,and legacies received,
Closing balance at 01/01/2020,3010,3.364,248.006,(10.341),25.553,,(3),2.750,269.329
Adjustments for changes in accounting policies,3011,,,,,,,,
Adjustments for errors,3012,,,,,,,,
Adjusted opening balance,3015,3.364,248.006,(10.341),25.553,,(3),2.750,269.329
I. Total recognized income/(expenses),3020,,,,71.137,,,(344),70.793
II. Transactions with shareholders or owners,3025,,10.077,(9.844),(9.700),,,,(9.467)
1. Capital increases/(reductions),3026,,,,,,,,
2. Conversion of financial liabilities to equity,3027,,,,,,,,
3. Distribution of dividends,3028,,,,(9.700),,,,(9.700)
4. Treasury stock transactions (net),3029,,10.077,(9.844),,,,,233
5.Increases/(reductions ) due to business combinations,3030,,,,,,,,
6. Other transactions with shareholders or owners,3032,,,,,,,,
III. Other equity transactions,3035,,15.884,,(15.853),,,,31
1. Payments based on equity instruments,3036,,,,,,,,
2. Transfers between equity items,3037,,15.853,,(15.853),,,,
3. Other changes,3038,,31,,,,,,31
Closing balance at 31/12/2020,3040,3.364,273.967,(20.185),71.137,,(3),2.406,330.686
