,"31 December, 2021",,"31 December, 2020",
,Alentia,Enervit,Alentia,Enervit
Condensed statement of comprehensive income,,,,
,"Biotech, S.L.","Nutrition, S.L.","Biotech, S.L.","Nutrition, S.L."
,,,,
Revenue,—,"7,442",—,"5,669"
Cost of sales,—,"(5,929)",—,"(4,507)"
Employee benefit expenses,—,(375),—,(501)
Other operating expenses,(4),(565),—,(599)
Amortisation and depreciation,—,(209),—,(212)
Profit / (loss) before tax,(4),364,—,(150)
Finance costs - net,—,,—,(7)
Income tax,—,—,—,1
Profit / (loss) for the period,(4),364,—,(156)
,,,,
Other comprehensive income,—,—,—,—
,,,,
TOTAL COMREHENSIVE INCOME,(4),364,—,(156)
,,,,
Dividends received from joint ventures,—,—,—,—
