"31 December, 2020 31 December, 2019 Condensed statement of comprehensive Alentia Enervit Alentia Enervit income Biotech, S.L. Nutrition, S.L. Biotech, S.L. Nutrition, S.L. Revenue - 5,669 - 6,170",,,
,"- (4,507) - (5,023)",,
Employee benefit expenses - (501) - (590) Other operating expenses - (599) - (773) Amortisation and depreciation - (212) - (217),,,
Operating profit / (loss) - (150),,-,(433)
Finance costs – net - (7) - 15 Corporate income tax - 1 - 28,,,
Profit / (loss) for period - (156),,-,(390)
Other comprehensive income - - TOTAL COMPREHENSIVE INCOME - (156),,,
,,-,(390)
Dividends received from joint ventures - -,,,
