,Share capital (Note 15),Share premium (Note 15),Legal reserve,Treasury shares (Note 15),Retained earnings and voluntary reserve,Profit for the period,Other reserves,Non-controlling interests (Note 15),TOTAL EQUITY
"Balance at 1 January, 2023","3,241","87,636",673,"(27,561)","256,362","199,669",(8),"1,367","521,379"
Total comprehensive inc. for the period Transfer of 2022 profit,—,—,—,—,—,"66,646",(16),(2),"66,628 —"
,—,—,—,—,"129,783","(129,783)",—,—,
Dividends Acquisition of treasury shares (Note 15) Reissue of treasury shares (Note 15) Other movements,—,—,—,—,—,"(69,886)",—,—,"(69,886)"
,—,—,—,"(48,739)",—,—,—,"— — 1,777","(48,739) 48,626 1,777"
,—,—,—,"49,698","(1,072)",— —,— —,,
,—,—,—,—,—,,,,
Balance at 30 June 2023,"3,241","87,636",673,"(26,602)","385,073","66,646",(24),"3,142","519,785"
