,Note,31 December,
,,2019,2018
Profit for the year,,"39,273","17,895"
Items that may subsequently be reclassified to profit and loss + Changes in value of equity securities,11,- -,(1) (1)
Other comprehensive income (net of taxes),,-,(1)
Total comprehensive income for the year,,"39,273","17,894"
