,,,2018,2017
Financial debt (Note 18),,,"34,224","43,237"
Less: Cash and cash equivalents (Note 14),,,"(95,511)","(40,700)"
Less: Equity securities (Note 11),,,(70),(70)
Less: Deposits (Notes 9 & 13),,,"(1,394)","(1,374)"
Net debt/(Cash),,,"(62,751)","1,094"
Equity,,,"287,472","191,687"
Leverage index/Gearing ratio,,,-21.83%,0.57%
