,,,,Thousand euros,
,,,,2021,2020
,,,,,
Remuneration of executive directors,,,,"4,748","1,214"
Profit attributed to parent company,,,,"65,143","71,137"
Remuneration of executive directors / Profit attributable to,,,,,
,,,,,
parent company,,,,7.29 %,1.71 %
