,2019,,2018,,
DISTRIBUTION OF EMPLOYEES BY AGE / GENDER,Men Women,TOTAL,Men Women,TOTAL,Var.
18-30 years 88 222 31-40 years 179 187 41-50 years 210 176 51-60 years 116 93 >60 years 21 18,,310 366 386 209 39,78 106 156 216 195 213 109 114 20 17,184 372 408 223 37,68% -2% -5% -6% 5%
TOTAL 614 696,,"1,310",558 666,"1,224",7%
,,,,,
