,,,,,,,,
,,,,,Retained,,,
,,,,,earnings and,,,
,,Share,,Treasury,voluntary,Profit for the,Other,
,Share capital,premium,Legal reserve,shares,reserve,year,reserves,TOTAL
,,,,,,,,
,(Note 15),(Note 15),(Note 16),(Note 16),(Note 16),(Note 16),(Note 16,EQUITY
"Balance at 1 January, 2020","3,364","87,636",673,"(10,341)","201,784","39,273",(3),"322,386"
Total comprehensive income,—,—,—,—,—,"61,057",—,"61,057"
Transfer of 2019 profit,—,—,—,—,"29,573","(29,573)",—,—
Dividends 2019 (Note 16 e),—,—,—,—,—,"(9,700)",—,"(9,700)"
Acquisition of treasury shares (Note 16 d),—,—,—,"(37,255)",—,—,—,"(37,255)"
Reissue of treasury shares (Note 16 d),—,—,—,"27,411","10,077",—,—,"37,488"
Other movements,—,—,—,—,(276),—,—,(276)
"Balance at 31 December, 2020","3,364","87,636",673,"(20,185)","241,158","61,057",(3),"373,700"
Total comprehensive income,—,—,—,—,—,"153,077",1,"153,078"
Transfer of 2020 profit,—,—,—,—,"39,925","(39,925)",—,—
Dividends 2020 (Note 16 e),—,—,—,—,—,"(21,132)",—,"(21,132)"
Acquisition of treasury shares (Note 16 d),—,—,—,"(78,785)",—,—,—,"(78,785)"
Reissue of treasury shares (Note 16 d),—,—,—,"31,446","10,882",—,—,"42,328"
Other transactions with shareholders & owners,—,—,—,"1,403",—,—,—,"1,403"
Other movements,—,—,—,—,384,—,—,384
"Balance at 31 December, 2021","3,364","87,636",673,"(66,121)","292,349","153,077",(2),"470,976"
