Q1 2025,Q1 2024
,
"22,849","19,008"
,
"7,281","6,626"
(568),(3)
(832),"(2,814)"
104,(11)
57,(57)
629,316
(52),43
(360),(258)
77,(14)
,
"20,721","19,099"
"11,538","2,700"
(123),(101)
"(34,575)","(35,306)"
,
"(8,240)","6,147"
515,253
(177),(84)
"18,844","15,544"
,
(218),(135)
"(8,057)","(8,856)"
—,9
—,80
"(3,463)",(255)
144,3
"(11,594)","(9,154)"
,
"(6,216)","(3,470)"
—,"19,600"
(543),(99)
"(14,686)","(34,658)"
"14,451",—
"(6,994)","(18,627)"
"1,864",—
"2,120","(12,237)"
"27,186","25,322"
"29,306","13,085"
