,Thousand euros,,,,,,
,Income statement,,,,Income and expenses credited/ (charged) directly in equity,,
Balance income and expenses,,,"75,546",,,,(346)
,Increases,Decreases,Total,,Increases,Decreases,Total
Corporate income tax,,,"(1,687)",,,,(113)
Permanent differences,,,,,,,
– Individual,619,"(60,373)","(59,754)",,— — — — — —,,
– Due to tax consolidation,—,— —,,,,,
Temporary differences,,,,,,,
– Individual,,,,,,,
– originating in the period,"1,727",—,"1,727",,— — — — — —,,
– originating in previous periods,362,"(1,842)","(1,480)",,,,
– Due to consolidation,,,,,,,
– originating in the period – originating in previous periods,"— (8,396) (8,396) 12,846 — 12,846",,,,— — — — — —,,
Taxable income,,,"18,802",,,,(459)
