,Note,31 December,
,,2020,2019
Revenue Change in inventories of finished goods and work in progress Raw materials and consumables used Employee benefit expenses Other operating expenses Amortisation,5 & 22 23 24 6 & 7,"419,961 17,659 (196,311) (74,429) (73,706) (19,593)","381,313 21,414 (188,020) (72,512) (81,946) (18,216)"
Impairment of non-current assets,7,(56),(341)
Recognition of government grants on non-financial non-current assets and other OPERATING PROFIT Finance income Finance costs Impairment and gain or loss on measurement of financial instruments Exchange difference FINANCE COSTS - NET 26 Share of profit of joint venture 10 PROFIT BEFORE INCOME TAX Income tax 27,,"1,157 74,682 4 (1,072) (1,041) 39 (2,070) (31) 72,581 (11,524)","1,151 42,843 51 (927) 159 (51) (768) (195) 41,880 (2,607)"
PROFIT FOR THE YEAR,,"61,057","39,273"
Earnings per share (basic and diluted) attributable to the shareholders of the Company (euros) - Basic and diluted,28,1.10,0.71
