,,
Balance at beginning of year,"2,196,011","644,114"
Shares acquired under liquidity contract (d.1) Shares sold under liquidity contract (d.1) Shares acquired under buy-back programmes (d.2),"550,137 (564,563) 685,074 (2,780,395)","1,315,909 (1,312,404) 1,548,392 —"
Shares for capital reduction in buy-back programmes (d.2),,
Balance at end of year,"86,264 2,196,011",
