Non-current,2024,2023
Bank borrowings Debt with government entities Financial liabilities for leases,"70,659 31,250 9,844 7,325 10,216 13,667",
Current,"90,719 52,242",
,,
Bank borrowings Debt with government entities Financial liabilities for leases,"16,280 6,495 1,562 1,565 5,849 5,125 23,691 13,185",
,"114,410 65,427",
