,Thousands of euros,
,2018,2017
Legal reserves and reserves required by the Bylaws:,,
- Legal reserve,600,600
,600,600
Other reserves:,,
- Non-distributable special reserve,"5,036","5,036"
- Voluntary reserves,472,472
- Revaluation reserve Royal Decree-Law 7/96,851,851
,"6,359","6,359"
,"6,959","6,959"
