Riesgo climático relevante,Potencial impacto financiero,Calificación,Horizonte temporal
Riesgos físicos,,,
Eventos de temperatura extrema,Fallo de equipos,Leve,"Corto, medio y largo plazo"
Estrés hídrico,Interrupción de la actividad de producción por una potencial falta de suministro,Leve,Corto plazo
,,Moderado,Medio plazo
Riesgos de transición,,,
Aumento del coste de las emisiones de CO2,Incremento de los costes operacionales debido al incremento de los combustibles fósiles.,Insignificante,"Corto, medio y largo plazo"
