Ejercicio financiero 2023,2023,,,Criterios de contribución sustancial,,,,,,"Criterios de ausencia de perjuicio significativo (""No causa un perjuicio significativo"").",,,,,,,,,
Actividades económicas,Códigos,CapEx (€),"Proporción año 2023 de las CapEx,",Mitigación climático del cambio,Adaptación climático al cambio,Agua,Contaminación,Economía circular,Biodiversidad,Mitigación climático del cambio,Adaptación climático al cambio,Agua,Contaminación,Economía circular,Biodiversidad,Garantía mínimas,"Proporción de las CapEx que se ajusta a la taxonomía (A.1.) o elegible según la taxonomía (A.2), año 2022",Categoría actividad facilitadora,Categoría actividad de transición
A.2. Actividades elegibles según la taxonomía pero no medioambientalmente sostenibles (actividades que no se ajustan a la taxonomía),,,,,,,,,,,,,,,,,,,
Fabricación de ingredientes farmacéuticos activos (IFA) o sustancias activas (*),PPC 1.1,"17.989,80 €","0,030%",N/ EL,N/ EL,N/ EL,EL,N/ EL,N/ EL,,,,,,,,N/A,,
Fabricación de medicamentos (*),PPC 12,"41.746.546,09 €","68,457%",N/ EL,N/ EL,N/ EL,EL,N/ EL,N/ EL,,,,,,,,N/A,,
"Instalación, mantenimiento y reparación de equipos de eficiencia energética",CCM 7.3,"17.621,07 €","0,029%",EL,N/ EL,N/ EL,N/EL,N/ EL,N/ EL,,,,,,,,"0,004%",,
CapEx de actividades elegibles según la taxonomía pero no medioambientalmen te sostenibles (actividades que no se ajustan a la taxonomía) (A.2),,"41.782.156,96 €","68,516%","0,02 9%",0%,0%,"68,487 %",0%,0%,,,,,,,,"0,004%",,
A. CapEx de actividades elegibles según la taxonomía (A.1+A.2),,"43.090.446,76 €","70,661%","2,71 4%",0%,0%,"68,487 %",0%,0%,,,,,,,,"0,860%",,
B . Actividades no elegibles según la Taxonomía (A.1+A.2),,,,,,,,,,,,,,,,,,,
CapEx de actividades no elegibles según la taxonomía (B),,"17.891.553,24 €","29,339%",(*) En el ejercicio 2022 no aplicaba la evaluación de la elegibilidad de dicha actividad.,,,,,,,,,,,,,,,
Total,,"60.982.000,00 €",100%,,,,,,,,,,,,,,,,
