,,,Manufacturing,Marketing,Other,TOTAL,
,,,,,,,TOTAL
Total segment revenues,,,"122,199","242,102",-,364.301,
,,,,,,,364.301
Inter-segment revenues,,,"(61,100)","(27,552)",-,(88.652),
,,,,,,,(88.652)
Revenues from external customers,,,"61,099","214,550",-,"275,649",
,,,,,,,"275,649"
