Salarios adecuados (S1-10),117
Protección social (S1-11) 117,
Personas con discapacidad (S1-12),117
Parámetros de formación y desarrollo de capacidades (S1-13) 118,
Parámetros de salud y seguridad (S1-14),119
Parámetros de conciliación laboral (S1-15) 120,
Parámetros de retribución (brecha salarial y retribución total) (S1-16),120
"Incidentes, reclamaciones e incidencias graves relacionados con los Derechos Humanos (S1-17) 121",
NEIS S2. Trabajadores en la cadena de valor 123,
Intereses y opiniones de las partes interesadas (NEIS 2 SBM-2) 123,
"Impactos, riesgos y oportunidades materiales y su interacción con la estrategia y el modelo de negocio (NEIS 2 SBM-3)",123
Políticas relacionadas con los trabajadores de la cadena de valor (S2-1) 125,
Procesos para colaborar con los trabajadores de la cadena de valor en materia de impactos (S2-2),127
Procesos para reparar los impactos negativos y canales para que los trabajadores de la cadena de valor 127 expresen sus inquietudes (S2-3),
Actuaciones y recursos relacionados con los trabajadores de la cadena de valor (S2-4),128
Metas relacionadas con los trabajadores de la cadena de valor (S2-5) 129,
NEIS S4. Consumidores y usuarios finales 130,
Intereses y opiniones de las partes interesadas (NEIS 2 SBM-2) 130,
"Impactos, riesgos y oportunidades materiales y su interacción con la estrategia y el modelo de negocio (NEIS 2 SBM-3)",131
Políticas relacionadas con los consumidores y usuarios finales (S4-1) 134,
Procesos para colaborar con los consumidores y usuarios finales en materia de impactos (S4-2),136
Procesos para reparar los impactos negativos y canales para que los consumidores y usuarios finales 138 expresen sus inquietudes (S4-3),
Actuaciones y recursos relacionadas con los consumidores y usuarios finales (S4-4),139
Metas relacionadas con los consumidores y usuarios finales (S4-5) 145,
Información específica de la entidad: Digitalización e Inteligencia Artificial,146
