Six-month period ended 30 June 2024,,Net carrying amount 01.01.2024,Additions,Payments,Net carrying amount 30.06.2024
,,,,,
Bank borrowings (a) Debt with government entities (b) Finance lease liabilities (c),,"37,745","69,000","(12,136) 94,609",
,,"8,890 1,081 (876) 9,095 18,792 1,483 (2,820) 17,455",,,
,,"65,427 71,564 (15,832) 121,159",,,
