Año base,KPI,Objetivo a 2030
Tratamiento de residuos,,
2025,Reducir a cero los residuos no peligrosos destinados a vertedero.,0
2025,Incremento de la valorización de residuos no peligrosos.,70%
Economía circular,,
2024,Disminución del uso de plástico en las presentaciones del 25% de las unidades de Bemiparina puestas en el mercado.,14 %
2024,Incremento de las unidades empaquetadas exclusivamente en cartón.,32 %
