,2021,2020
Trade payables,"97,407","63,452"
Payables to related parties (Note 31),"2,336","2,070"
Outstanding remuneration,"5,466","4,564"
Public authorities,"5,539","4,936"
Other payables,"14,425","16,342"
,"125,173","91,364"
