,Fabricación,Comercialización,Otros,Total agregado
Total activos,922.808 543.930,,5.430 1.472.168,
De los cuales:,— 82.235 59.401 13.656,,,
Inversiones en empresas del Grupo,,,— 800,82.235 73.857
Aumentos de act. no corrientes no financieros,,,,
,,,,
Total pasivos,(177.593) (509.789) (6.042),,,(693.424)
