2023,2022 2021
Hombres Mujeres Total,Hombres Mujeres Total Hombres Mujeres Total
897 965 1.862,828 882 1.710 632 669 1.301
1 5 6,1 4 5 1 3 4
4 53 57,7 45 52 3 36 39
902 1.023 1.925,836 931 1.767 636 708 1.344
0 0 0,0 0 0 1 0 1
34 40 74,46 37 83 135 118 253
3 13 16,4 11 15 6 10 16
