2023,2022 2021
Hombres Mujeres Total,Hombres Mujeres Total Hombres Mujeres Total
3 5 8,2 2 4 3 1 4
7 5 12,5 5 10 2 2 4
7 6 13,6 5 11 1 6 7
4 3 7,5 2 7 4 2 6
0 0 0,0 1 1 0 0 0
21 19 40,18 15 33 10 11 21
