,2025 2024
Ingresos por intereses,505 26 582 233
Otros ingresos financieros,
Total ingresos financieros,1.087 259
,
Gastos por intereses,(2.564) (1.988) (282) (362)
Otros gastos financieros,
Total gastos financieros,(2.846) (2.350)
,
Resultado por enajenaciones de instrumentos financieros,(511) 81 (97) —
Variación en el valor razonable de instrumentos financieros,
Deterioro y resultado en valoración de instrumentos financieros,(608) 81
,
Diferencias de cambio,(214) 296
,(214) 296
,
Resultado financiero neto,(2.581) (1.714)
