,,,2018,2017
Financial debt (Note 18),,,"34,224","43,237"
Less: Cash and cash equivalents (Note 14),,,"(95,511)","(40,700)"
Less: Available-for-sale financial assets (Note 11),,,(70),(69)
Less: Deposits (Notes 9 & 13),,,"(1,394)","(1,374)"
Net debt/(Cash),,,"(62,751)","1,094"
