,,Carrying amount,,Fair value,
,,30 June 2024,31 December 2023,30 June 2024,31 December 2023
Banks borrowings,,"78,672 31,250 7,466 7,325",,"75,433 6,906","26,877 6,891"
Debt with government entities,,,,,
,,"86,138 38,575 82,339 33,768",,,
