Nombre,Cargo,Categoría
DON MIGUEL CORSINI FREESE,PRESIDENTE,Independiente
DON ENRIQUE CASTELLÓN LEAL,SECRETARIO,Independiente
DON JOSÉ FERNANDO DE ALMANSA MORENO-BARREDA,VOCAL,Independiente
