Trade receivables,Rating,2021,2020
,AA,(27),138
,A1,"1,357",554
,Public centres and institutions (Note 13),"9,026","9,394"
,"Other (wholesalers, pharmacies, hospitals)","119,502","53,244"
,Total trade receivables (Note 13),"129,858","63,330"
