,Licencias de Otros distribución contratos Total
Al 1 de enero de 2023,1.839 114.607 116.446
Altas Imputación a la cuenta de resultados,255 76.912 77.167 (339) (152.799) (153.138)
Al 31 de diciembre de 2023,1.755 38.720 40.475
Altas Imputación a la cuenta de resultados,793 66.274 67.067 (365) (100.555) (100.920)
Al 31 de diciembre de 2024,2.183 4.439 6.622
