,,Manufacturing,Marketing,,Other,,Aggregated total,Inter- segment transactions,,Consolidated total,,
,,,,,,Other,,,,,,
Total segment revenues,,"122,199","242,102",,-,,"364,301","(88,652)",,"275,649",,
,,,,,,-,,,,,"275,649",
,,,,,,,,,,,,
Profit/(loss),,"11,699","16,978",,(94),,"28,583","(11,342)",,"17,241",,
,,,,,,(94),,,,,,
Income tax,,"7,224","(6,296)",,(30),,898,(617),,281,,
,,,,,,(30),,,,,,
Profit/(loss) before tax,,"18,923","10,682",,(124),,"29,481","(11,959)",,"17,522",,
,,,,,,(124),,,,,,
Finance costs - net,,21,"(8,602)",,1,,"(8,580)","9,500",,920,,
,,,,,,1,,,,,,
Amortisation,,"4,108","7,371",,-,,"11,479",-,,"11,479",,
,,,,,,-,,,,,,
EBITDA (*),,"23,052","9,451",,(123),,"32,380","(2,459)",,"29,921",,
,,,,,,(123),,,,,"29,921",
,,,,,,,,,,,,
Amortisation,,"(4,108)","(7,371)",,-,,"(11,479)",-,,"(11,479)",,
,,,,,,-,,,,,,
EBIT (**),,"18,944","2,080",,(123),,"20,901","(2,459)",,"18,442",,
,,,,,,(123),,,,,,
