,,,,TOTAL/PROMEDIO
,,,,5.163
,,,,4.215
Total residuos 936 5.486 526 1.151 1.249 29,,,,9.377
,,,,—
,,,,—
"Total residuos / uds. producidas y 0,009 450,350 4,2 11,6 15,5 1,5 distribuidas",,,,—
,,,,1.093
,,,,1.076
,,,,2.729
"Total residuos no peligrosos reciclados/uds. n.a 1,3 1,9 2,5 producidas y distribuidas",,"7,2","0,2",—
Total residuos no peligrosos valorizados/ uds. producidas y distribuidas,"n.a 1,5 0,0 5,5","6,4","0,01",—
Total residuos peligrosos valorizados/uds. producidas y distribuidas,"0,002 178,4 0,0 2,8","1,0","1,2",—
