Thousands of euros 2017 2016,
Non-current debits and payables - Bank borrowings (a) - Debt with government entities (b),"17,716 10,940 8,745 9,170"
,"26,461 20,110"
"Current debits and payables - Bank borrowings (a) 13,222 9,991 - Debt with government entities (b) 2,809 2,798 - Current debt with group and associated companies (Note 31.f) 129 88 - Trade payables 27,017 31,260 - Trade payables, related parties (Note 31.f) 23,376 62,429 - Sundry creditors 38 23 - Employees 2,496 2,905 69,087 109,494 95,548 129,604",
