Q1 2025,Q1 2024
"154,892","151,175"
558,"30,528"
"(65,090)","(96,244)"
"(35,095)","(32,305)"
"(25,158)","(27,629)"
38,211
"(7,281)","(6,626)"
232,172
(77),14
"23,019","19,296"
568,3
(629),(316)
(161),68
52,(43)
(170),(288)
"22,849","19,008"
"(4,773)","(4,049)"
"18,076","14,959"
,
"18,101","14,961"
(25),(2)
