WORK ACCIDENT INCIDENCE RATE (*) BY GENDER,,,2020,,,2019,,Annual variation,
,Men,,,0.595,,,2.280,,-74%
,Women,,,1.874,,,3.161,,-41%
,TOTAL,,,1.268,,,2.778,,-54%
