,Miles de euros,
,2025,2024
Especialidades farmacéuticas Agentes de contraste y otros productos hospitalarios Concesión licencias distribución (Nota 19) Venta a otras empresas grupo (Nota 31.a),,
,140.840 202.007,
Otros,(77),5
,510.195,
