Number of beneficiaries,3
,
Beneficiary,Description of agreement
,
"MR JUAN LÓPEZ-BELMONTE ENCINA, MR JAVIER LÓPEZ-BELMONTE ENCINA AND MR IVÁN LÓPEZ- BELMONTE ENCINA","-Mr Juan López-Belmonte Encina: The Company holds a service agreement with the chief executive officer. In particular, the causes for termination of the contract and the consequences thereof have been adapted to the latest changes made by the CNMV to the Good Governance Code in June 2020, which were in turn added to the executive directors’ contracts following the review at the end of 2020. Thus, if the contractual relationship ends, a provision is made for an indemnity to the director of a gross sum equivalent to the two times the arithmetic average of the total annual compensation for the last three full years immediately preceding the contract termination date, except in the cases of (i) resignation from the position of director for reasons other than those included in the contract or (ii) revocation by the Company due to the director’s failure to perform the duties established by law, contract or internal regulations, or the existence of a cause for fair dismissal in accordance with labour legislation (apart from unilateral termination by the employer). – Messrs Javier López- Belmonte Encina and Iván López-Belmonte Encina: The Company has signed employment contracts with these executive directors. In particular, regarding causes for termination of the contracts and the consequences thereof, the employment contracts refer to the provisions of the Workers’ Statute."
