,,,,Thousand euros
,,,,2024 2023
Retribución de consejeros ejecutivos,,,,
Remuneration of executive directors,,,,"2,605"
Profit attributable to parent company,,,,"75,546"
Remuneration of executive directors/Profit attributable to p company,arent,,,3.45 %
