,Nota,Al 31 de diciembre,
,,2016,2015
ACTIVO NO CORRIENTE,,82.085,75.626
Inmovilizado intangible Inmovilizado material Inversiones en empresas del grupo y asociadas a largo plazo Instrumentos de patrimonio Inversiones financieras a largo plazo Instrumentos de patrimonio,5 6 8 y 9 7 y 11,22.503 41.171 13.217 13.217 1.587 62,17.283 43.730 10.492 10.492 1.559 62
Créditos a terceros Otros activos financieros,7 y 10,50 1.475,- 1.497
Activos por impuesto diferido,21,3.607,2.562
ACTIVO CORRIENTE,,203.370,152.374
Existencias Deudores comerciales y otras cuentas a cobrar,12,32.074 134.280,32.664 92.554
"Clientes por ventas y prestaciones de servicios Clientes, empresas del grupo y asociadas Deudores varios Personal",7 y 10 7 y 10 7 y 10 7 y 10,29.614 94.673 576 186,31.320 50.351 763 -
Activos por impuesto corriente,23,4.466,3.945
Otros créditos con las Administraciones Públicas,23,4.765,6.175
Inversiones en empresas del grupo y asociadas a corto plazo Créditos a empresas Periodificaciones a corto plazo,7 y 10,5 5 3,5 5 9
Efectivo y otros activos líquidos equivalentes,7 y 13,37.008,27.142
,,,
TOTAL ACTIVO,,285.455,228.000
