,Miles de euros
,2025 2024
Resultado del ejercicio antes de impuestos Ajustes del resultado:,47.972
,
- Amortización del inmovilizado (Notas 5 y 6) - Ingresos financieros (Nota 24) - Gastos financieros (Nota 24) - Diferencias de cambio (Nota 24) - Ajustes por cambios de valor de instrumentos financieros,9.597 (30.116) 5.739 (68) 6 622 (4.043) (12.616)
- Resultados por bajas y enajenaciones de instrumentos financieros,
- Variación neta de provisiones (Nota 20) - Subv. de inmovilizado no financiero e ingresos por licencias de distribución - Otros ingresos y gastos,
,(747)
,16.346
Cambios en el capital corriente:,
- Existencias - Deudores y otras cuentas a cobrar - Acreedores y otras cuentas a pagar,55.711 (2.137) 19.539
,73.113
Otros flujos de efectivo de las actividades de explotación:,
- Pagos de intereses - Cobros (pagos) por impuesto sobre beneficios,(5.351) (40.221) 630
- Otros Cobros (pagos) (Nota 19),
,(44.942)
Flujos de efectivo generados / (utilizados) de las actividades de explotación,44.517 51.667
