,Devoluciones,Descuentos al sistema público de salud,Otros,Total
Al 1 de enero de 2022,,,,
Adiciones,,,,
Aplicaciones,,,,
Al 31 de diciembre de 2022,,,,
Adiciones/(Reversiones),,,,
Aplicaciones,(2.165) (2.868) (115) (5.148),,,
Al 31 de diciembre de 2023,1.586 6.649 — 8.235,,,
