,2025,2024,% Variación
Hombres 9 9 — %,,,
Mujeres 8 4 100 %,,,
Otro 0 0 — %,,,
No especificado 0 0 — %,,,
Total,17,13,"30,77 %"
% de mujeres,"47,06 %","30,77 %","52,94 %"
