,Thousand euros,
,2021,2020
"Wages, salaries and similar","33,764","26,974"
Employee benefits,,
- Pension contributions and provisions (Nota 30 a),6,24
- Other welfare charges,"6,792","5,805"
,"40,562","32,803"
