,Libertad de amortización Otros Total
Al 1 de enero de 2023,51 626 677
Cargo / (abono) a la cuenta de resultados Cargo / (abono) a patrimonio neto,(71) 522 451 269 118 387
Al 31 de diciembre de 2023,249 1.266 1.515
Cargo / (abono) a la cuenta de resultados,(49) (1.100) (1.149)
Al 31 de diciembre de 2024,200 166 366
