,Total
Total de personal asalariado,
,2.197
Total de personal asalariado permanente,
,1.994
Total de personal asalariado temporal,
,203
Total de personal asalariado de horas no garantizadas,
,0
Total de personal asalariado permanente a tiempo completo,
,1.927
Total de personal asalariado permanente a tiempo parcial,
,67
Total de personal asalariado temporal a tiempo completo,
,171
Número de personal asalariado a tiempo parcial,
,32
