,2022 2021,
Clientes,160.762 129.858 (536) (57),
Menos: reserva para pérdidas por incobrables,,
Clientes – Neto (13.a),160.226 129.801 26 90,
Otras cuentas a cobrar,,
Cuentas a cobrar a partes vinculadas (Nota 31),—,2
Depósitos (13.b),1.416 1.427 111 96 18.297 18.821,
Personal,,
Administraciones públicas (13.c),,
Total,180.076 150.237,
Menos: Parte no corriente: Cuentas financieras a cobrar,65 65,
Parte corriente,180.011 150.172,
