,Share capital (Note 15),Legal reserve (Note 16),Treasury shares (Note 16),Retained earnings and voluntary reserves (Note 16),Profit for the year (Note 16),Reserve for available-for- s a le assets (Note 16),TOTAL EQUITY
"Balance at 1 January, 2016","3,000",600,"(8,112)","149,490","19,809",(2),"164,785"
Total comprehensive income Transfer of 2015 profit Dividends 2015 (Note 16 e) Acquisition of treasury shares (Note 16 d) Reissue of treasury shares (Note 16 d),- - - - -,- - - - -,- - - (987) 398,"- 12,956 - - 48","26,089 (12,956) (6,853) - -",(1) - - - -,"26,088 - (6,853) (987) 446"
Other movements,-,-,-,(73),-,-,(73)
"Balance at 31 December, 2016","3,000",600,"(8,701)","162,421","26,089",(3),"183,406"
Total comprehensive income Transfer of 2016 profit Dividends 2016 (Note 16 e) Acquisition of treasury shares (Note 16 d) Reissue of treasury shares (Note 16 d) Other movements,- - - - - -,- - - - - -,- - - (532) 826 -,"- 17,064 - - 185 (415)","17,241 (17,064) (9,025) - - -",1 - - - - -,"17,242 - (9,025) (532) 1,011 (415)"
"Balance at 31 December, 2017","3,000",600,"(8,407)","179,255","17,241",(2),"191,687"
