No corrientes,2022 2021
Préstamos de entidades de crédito,37.679 44.107 8.365 8.416 13.397 14.222
Deudas con organismos oficiales,
Pasivos financieros por arrendamiento,
,59.441 66.745
Corrientes,
Préstamos de entidades de crédito,6.428 714 1.810 2.245 4.459 3.441 28 17
Deudas con organismos oficiales,
Pasivos financieros por arrendamiento,
Instrumentos financieros derivados,
,12.725 6.417
,72.166 73.162
