,% Direct interest,Carrying amount of interest,Profit or loss Capital Reserves for period Total equity,
"Pan Química Farmacéutica, S.A. Gineladius, S.L.",100% 100%,"1,771 293","601 1,274 290 30 421 (28) 25 66 - 7,816 31,216 24,674 6 (252) 10 10 265 297 25 904 459 5 (1,514) 9 21 433 (7) 30 541 (51)","2,165 423"
"Bertex Pharma GmbH (Note 29.b) Rovi Pharma Industrial Services, S.A.U. Rovi Biotech, Limited Rovi Biotech, S.r.l. Rovi Biotech, GmbH Rovi S.A.S. Rovi Biotech sp.z.o.o.",100% 100% 100% 100% 100% 100% 100%,"1,236 7,370 7 340 1,575 5 487",,"91 63,706 (236) 572 1,388 (1,500) 447"
"Rovi Escúzar, S.L.",100%,590,,520
,,"13,674",,
