Nombre o denominación social del consejero,Denominación social del accionista significativo,Cargo
DON JUAN LÓPEZ-BELMONTE LÓPEZ,"NORBEL INVERSIONES, S.L.",PRESIDENTE
DON JUAN LÓPEZ-BELMONTE ENCINA,"NORBEL INVERSIONES, S.L.",CONSEJERO
DON IVÁN JORGE LÓPEZ-BELMONTE ENCINA,"NORBEL INVERSIONES, S.L.",CONSEJERO
DON JAVIER LÓPEZ-BELMONTE ENCINA,"NORBEL INVERSIONES, S.L.",CONSEJERO
