,Manufacturing,Marketing Other,,Aggregated total,Inter- segment transactions,Consolidated total
Total segment revenues Profit/(loss) Corporate income tax Profit/(loss) before tax,"247,723 210,483",,—,"458,206 (128,870)",,"329,336"
,,,,0,,0
,"54,385 30,802 (44) 85,143 (40,805) 12,182 1,347 (5) 13,524 (1,720)",,,,,"44,338 11,804"
,"66,567 32,149 (49) 98,667 (42,525)",,,,,"56,142"
Finance costs – net Amortisation/depreciation,"(541) (37,704) 8,893 4,559",,9 —,"(38,236) 13,452","38,550 (6)",314
,,,,,,"13,446"
EBITDA (*),"74,919 (996) (40) 73,883 (3,981)",,,,,"69,902"
,,,,,,
Amortisation/depreciation,"(8,893) (4,559)",,—,"(13,452)",6,"(13,446)"
EBIT (**),"66,026 (5,555) (40) 60,431 (3,975)",,,,,"56,456"
