,,,30 de junio 30 de junio de 2024 de 2023,,,,,,
,,,,30 de junio,,,30 de junio,,
,,,,,de 2024,,,de 2023,
Manufacture of medicines,,,"104,797 159,192 14,056 13,029",,"104,797",,,"159,192",
Manufacture of active ingredient,,,,,"14,056",,,,"13,029"
,,,,,"118,853",,,"172,221",
