,Fabricación,Comercialización,Otros,Total agregado,Operaciones Inter- segmentos,Total Consolidado
Total ingresos segmento,600.351,427.528,—,1.027.879,(264.130),763.749
,,,,,,
Beneficio/(pérdida),170.352 41.458,,(181),211.629 (74.753) 136.876,,
Impuesto de sociedades,43.789 604 (18) 44.375 (3.561) 40.814,,,,,
Rtdo. antes de imptos.,214.141 42.062 (199) 256.004 (78.314) 177.690,,,,,
Resultado financiero,(1.219) (60.633) 18.775 9.268,,26 21,(61.826) 63.540 1.714 28.064 (49) 28.015,,
Amortización,,,,,,
EBITDA (*),231.697 (9.303),,(152) 222.242 (14.823) 207.419,,,
,,,,,,
Amortización,(18.775) (9.268),,(21),(28.064) 49 (28.015),,
EBIT (**),212.922 (18.571) (173) 194.178 (14.774) 179.404,,,,,
