,,,,2020,,,,,,2019,,,,,,,,
DISTRIBUTION DISMISSALS BY AGE/GENDER,,,Men,,Women,,TOTAL,,Men,,,Women,,,TOTAL,,,Total variation
,18-30 years,,,1,-,,1,,,1,,,2,,,3,,
,31-40 years,,,3,-,,3,,,5,,,10,,,15,,
,41-50 years,,,8,3,,11,,,8,,,5,,,13,,
,51-60 years,,,1,2,,3,,,8,,,-,,,8,,
,>60 years,,,-,-,,-,,,-,,,-,,,-,,
,TOTAL,,,13,5,,18,,,22,,,17,,39,,,
