,Rating 2024,Balance 2024,Rating 2023,Balance 2023
,,,,
Portugal,A-,"2,227 695 4,305 4,333 1,657 649 82 245 152 253 460 142 442 897",BBB+ BBB BB BB A- A BBB+ AA- BBB+ A BBB BBB- Baa1,"1,463 2,032 4,286 2,317 1,579 1,312 87 269 288 926 229 150 570 715"
Italy,BBB,,,
Catalonia,BB,,,
Valencia,BB A- A BBB+ AA- BBB+ A BBB BBB- Baa1,,,
Madrid,,,,
Galicia,,,,
Aragón,,,,
Basque Country,,,,
Andalusia,,,,
Canary Islands,,,,
Cantabria,,,,
Castilla la Mancha,,,,
Castilla y León,,,,
Other,,,,
,,"16,539",,"16,223"
