Q1 2024,Q1 2023
"151,175","201,630"
"30,528","14,173"
"(96,244)","(90,713)"
"(32,305)","(29,201)"
"(27,629)","(30,539)"
211,931
"(6,626)","(5,816)"
172,255
14,9
"19,296","60,729"
3,70
(316),(147)
68,215
(43),300
(288),438
"19,008","61,167"
"(4,049)","(13,710)"
"14,959","47,457"
,
"14,961","47,459"
2,2
