"June 30, 2024","Dec 31, 2023",
,,
316.5,290.6,26.0
540.8,509.3,31.4
857.3,799.9,57.4
,,
482.8,543.5,(60.7)
,,
102.1,56.5,45.6
98.1,52.2,45.9
272.5,199.8,72.6
23.0,13.2,9.8
374.6,256.4,118.2
857.3,799.9,57.4
