,Fabricación,Comercialización,Otros,Total agregado
Total activos,774.459 461.080 1.040 1.236.579,,,
De los cuales:,,,,
Inversiones en empresas del Grupo,—,26.428,— —,26.428 60.982
Aumentos de act. no corrientes no financieros,51.212 9.770,,,
,,,,
Total pasivos,(257.385) (398.469) (648) (656.502),,,
