,,Annual period ended 31 December,
,Note,2020,2019
Profit before income tax Adjustments to profit Changes in working capital Other cash flows from operating activities,,"75,216 12,953 (69,633) (4,631)","25,712 12,152 (60,206) (7,693)"
Cash flows generated (used) in operating activities,25,"13,905","(30,035)"
Payments of investments Proceeds from disinvestments,,"(11,074) 813","(26,539) 157"
Cash flows generated (used) in investing activities,26,"(10,261)","(26,382)"
Proceeds from and payment of financial liability instruments Dividend payments and remuneration of other equity instruments Transactions with treasury shares,,"(11,350) (9,700) 233","28,214 (4,420) 153"
Cash flows generated (used) in financing activities,27,"(20,817)","23,947"
,,,
NET INCREASE / DECREASE IN CASH AND CASH EQUIVALENTS,,"(17,173)","(32,470)"
Cash and cash equivalents at beginning of the year Cash and cash equivalents at end of the year,13 13,"51,317 34,144","83,787 51,317"
